,epoch,train_loss,valid_loss,valid_acc,layers,optimizer,lr,timestamp,source_file
74,25,0.22087949395179748,0.23950337805747987,0.9296,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
75,26,0.21220597661733628,0.23292409119606017,0.932,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
76,27,0.20415207161903381,0.22661876236200332,0.9338,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
77,28,0.19662080614566804,0.22058583632707596,0.9358,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
78,29,0.18955125160217284,0.21495258437395096,0.9375,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
79,30,0.1828940217256546,0.20968214213848113,0.9392,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
80,31,0.17662024323940276,0.2048709716439247,0.94,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
81,32,0.17071482356786727,0.20023804147243499,0.9415,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
82,33,0.1651392480790615,0.1961812995195389,0.942,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
83,34,0.15983978508114816,0.19193913980722427,0.9437,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
84,35,0.15475097187757492,0.1878301671385765,0.9448,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
85,36,0.14995533449649812,0.1840246891617775,0.9466,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
86,37,0.1453467713713646,0.1805257603764534,0.9476,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
87,38,0.14095666408538818,0.17718625985383987,0.9485,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
88,39,0.13677867156863213,0.17403710340857506,0.9492,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
89,40,0.1327946828365326,0.1713651728630066,0.9497,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
90,41,0.12896931984424592,0.16865721395611763,0.9502,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
91,42,0.1252962822854519,0.166091820114851,0.9513,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
92,43,0.12179455451965332,0.16379808843135835,0.9521,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
93,44,0.11842041943073273,0.16144664396643638,0.9528,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
94,45,0.11516635280251503,0.1593483057141304,0.9531,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
95,46,0.11203553072810173,0.1573898640036583,0.953,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
96,47,0.10902951219081879,0.15535453672409058,0.9541,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
97,48,0.10611263744235039,0.15363304723501206,0.9543,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
98,49,0.10332610068917275,0.15198019167780877,0.9546,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
99,50,0.10063383324742317,0.1504665251195431,0.9547,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
100,1,2.2975887687683105,2.2845888553619385,0.1703,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
101,2,2.2629221130371096,2.2254668281555174,0.2379,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
102,3,2.138449084854126,1.990793803024292,0.3374,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
103,4,1.7695655118942262,1.5136279357910156,0.5106,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
104,5,1.3223398109436035,1.120908353805542,0.6258,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
105,6,1.0093330287933349,0.8987658605575561,0.6871,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
106,7,0.855325015258789,0.7866491443634033,0.7435,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
107,8,0.7567365374565125,0.6931380310058594,0.7917,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
108,9,0.6625919825553894,0.5971964704036713,0.8261,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
109,10,0.5704453698158264,0.5136616162300109,0.8493,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
110,11,0.49808498587608335,0.45598419053554534,0.8673,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
111,12,0.44888635516166686,0.4186421888828278,0.8773,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
112,13,0.41519578495025633,0.3924775626182556,0.883,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
113,14,0.3902495657444,0.3725785979986191,0.8898,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
114,15,0.37034815006256105,0.3564113276720047,0.8945,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
115,16,0.35348246636390684,0.342298686671257,0.8995,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
116,17,0.33855431373119355,0.329736341047287,0.9036,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
117,18,0.32482112424373627,0.31805068747997284,0.9082,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
118,19,0.31188905444145204,0.306928629565239,0.9116,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
119,20,0.29952849459648134,0.2962000068664551,0.9133,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
120,21,0.28768173326253893,0.2859693304538727,0.9162,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
121,22,0.2762649582386017,0.27601274399757386,0.9196,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
122,23,0.2651518702507019,0.266569663476944,0.922,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
123,24,0.25437854343652727,0.2571529764533043,0.9243,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
124,25,0.2438956603527069,0.24862870532274245,0.9266,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
125,26,0.23395947165489198,0.2405411934018135,0.9293,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
