,epoch,train_loss,valid_loss,valid_acc,hidden_dim,layers,optimizer,lr,timestamp,source_file
13,14,1.742700853729248,1.7621582870483399,0.3071,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
14,15,1.7429467390060425,1.7617290176391602,0.3099,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
15,16,1.74523126411438,1.764258557510376,0.3098,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
16,17,1.7453456050872802,1.7670981929779053,0.3097,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
17,18,1.7441807313919067,1.7666078830718994,0.3086,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
18,19,1.744116752243042,1.7673568466186524,0.3093,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
19,20,1.7446778509140015,1.7683212394714356,0.3099,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
20,21,1.744593042755127,1.7687352849960327,0.3097,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
21,22,1.7447362461090088,1.7701472763061523,0.309,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
22,23,1.7439918544769286,1.7712592565536498,0.3093,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
23,24,1.7442102180480956,1.7718505220413208,0.3077,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
24,25,1.7435565017700196,1.7732359136581421,0.307,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
25,26,1.744246263885498,1.7714721878051758,0.3105,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
26,27,1.74350162525177,1.7745095272064209,0.3059,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
27,28,1.7437092258453368,1.774052465057373,0.3069,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
28,29,1.7434643028259278,1.7733788150787353,0.3079,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
29,30,1.7438585536956788,1.7755610530853272,0.3066,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
30,31,1.7438069723129273,1.7743115982055664,0.3088,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
31,32,1.7428947734832763,1.773727501296997,0.3087,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
32,33,1.7428810291290284,1.7732256265640258,0.3094,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
33,34,1.7428822818756105,1.7738327865600585,0.3092,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
34,35,1.7429009704589844,1.7747244285583497,0.309,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
35,36,1.7431541585922241,1.7743327709197998,0.309,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
36,37,1.7426390060424806,1.7718892824172974,0.3104,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
37,38,1.742524743270874,1.7712842041015624,0.3097,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
38,39,1.744027808380127,1.7724378337860107,0.3106,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
39,40,1.7425221305847167,1.7722931497573853,0.3111,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
40,41,1.7422862295150756,1.7700464038848878,0.3111,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
