,epoch,train_loss,valid_loss,valid_acc,layers,optimizer,lr,timestamp,source_file
67,18,1.6568440330505372,1.6345197694778442,0.3496,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
68,19,1.6290470777511596,1.6096962453842163,0.3562,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
69,20,1.6038312942504882,1.587257576751709,0.3723,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
70,21,1.5810911123275757,1.5674571842193603,0.3857,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
71,22,1.5601242988586426,1.5502231706619263,0.3919,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
72,23,1.5415821199417115,1.534877952003479,0.395,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
73,24,1.5239239938735962,1.5209958389282228,0.4047,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
74,25,1.5077680522918702,1.5079680532455444,0.4113,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
75,26,1.4921907344818115,1.4952205465316772,0.4151,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
76,27,1.4786917673110962,1.4830964433670044,0.4211,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
77,28,1.4649041036605834,1.4731437183380127,0.4269,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
78,29,1.4518224201202392,1.462443416595459,0.4317,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
79,30,1.4411444301605225,1.4550569648742675,0.4352,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
80,31,1.4294088676452636,1.4458868579864501,0.4388,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
81,32,1.4178439247131347,1.4356717052459718,0.4368,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
82,33,1.4067976390838624,1.4264907787322998,0.4433,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
83,34,1.3944204444885253,1.4370775709152221,0.4046,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
84,35,1.3845544025421141,1.4260329113006591,0.4164,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
85,36,1.3721392848968506,1.4202024307250976,0.418,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
86,37,1.3640874124526978,1.4606913761138915,0.3317,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
87,38,1.3523040367126464,1.4354003190994262,0.365,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
88,39,1.3436609725952149,1.4009282400131227,0.4475,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
89,40,1.3367662675857543,1.395982893371582,0.4582,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
90,41,1.329423547744751,1.3878466926574706,0.4452,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
91,42,1.3186981395721435,1.3973312940597533,0.4241,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
92,43,1.3132333904266358,1.3789351516723634,0.4678,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
93,44,1.303310758972168,1.3685800674438477,0.478,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
94,45,1.29608059425354,1.3653254201889038,0.4786,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
95,46,1.2935157693862915,1.365690207862854,0.4592,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
96,47,1.2863925466537476,1.4679780149459838,0.3329,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
97,48,1.2825601356506349,1.393783980178833,0.4759,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
98,49,1.2733218029022217,1.3704896390914918,0.4511,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
99,50,1.2655001358032227,1.4084786945343017,0.3726,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
100,1,2.296767698287964,2.278647599411011,0.1789,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
101,2,2.2442472484588625,2.185035665130615,0.326,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
102,3,2.0373983713150023,1.8008478801727295,0.4619,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
